Lesson 7
Part 1 with 1
купувати (купував)	;	buy (bought)
продавати (продавав)	;	sell (sold)
платити (платив)	;	pay (paid)
виготовляти (виготовляв)	;	make (made)
виробник	;	maker
вибирати (вибирав)	;	choose (chose)
пробувати, старатися (пробував)	;	try (tried)
міняти, змінювати, перевдягатися	;	change
показувати	;	show
грати	;	play
повернутися	;	turn
я спробую тобі допомогти	;	i will try to help you
сорочка	;	shirt
де ти купив цю сорочку?	;	where did you buy this shirt?
ви будете платити готівкою чи кредиткою?	;	will you pay cash or credit card?
я не грала в цьому фільмі	;	i did not play in this film
я хочу перевдягнутися, досл. я хочу змінити мій одяг	;	i want to change my clothes
я хочу вибрати нове плаття собі	(для мене)	;	i want to choose a new dress for me
я хочу купити нову машину	;	i want to buy a new car
коли ти поїдеш додому старайся їхати повільно	;	when you go home try to drive slowly
йди! ;	go!
не йди! ;	do not go!
пішли!	;	lets go!
коли він подорожує він купляє новий одяг	;	when he travels he buys new clothes
коли він подорожує він купляє нові речі	;	when he travels he buys new things
де ви купуєте одяг?	;	where do you buy clothes?
останнім часом	;	lately
носити (носив)	;	wear (wore)
сюжет	;	plot
екранна версія	;	screen version
екранізувати, зняти на відео, досл. виготовити екранну версію	;	make a screen version
стріляти, знімати	;	shoot (shot)
падати (падав)	;	fall (fell)
закохатися, досл. падати в кохання 	;	fall in love
промахнутися, сумувати	;	miss
випускати, випуск, вихід чогось	;	release
різати	;	cut
не так важливо для мене	;	not so important for me
помста	;	revenge
збожеволіти (збожеволів) ; go crazy (went crazy)
